fall_id,Status,Waterfall,Access,Country  Rating,Height,State,url,val,Magnitude,Absolute Magnitude,IWC Rating,Global Score,Country Score,State Score,Location,Appx. Elevation,Total Height,Tallest Drop,Num of Drops,Avg. Width,Max. Width,Pitch,Run,Form,Watershed,Stream,Avg.  High  Volume,Avg. Low Volume,Source,Flow Consistency,Best Flow,Avg.  Estm.  Volume,Province Score
10,.Confirmed-row,Acheron Falls,,,27 feet / 8 meters,Wyoming,https://www.worldwaterfalldatabase.com/waterfall/Acheron-Falls-11861,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.23163, -110.99959",6571 feet (asl),8 meters,,,,,,,,,,,,,,,NA,NA
11,.Confirmed-row,Acord Hollow Falls,,,66 feet / 20 meters,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Acord-Hollow-Falls-16352,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.7347, -93.5765",,20 meters,,2,,,,,,,,,,,,,NA,NA
12,.Confirmed-row,Ada-hi Falls,,,40 feet / 12 meters,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Ada-hi-Falls-20224,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.908, -83.4094",,12 meters,12 meters,1,,,,,Horsetail,,,,,,,,NA,NA
13,.Confirmed-row,Adam Falls,,,12 feet / 4 meters,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Adam-Falls-18494,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"40.1677, -79.2319",,4 meters,4 meters,1,,,,,Plunge,,Linn Run tributary,,,,,,NA,NA
14,.Confirmed-row,Adams Canyon Falls,,,,Utah,https://www.worldwaterfalldatabase.com/waterfall/Adams-Canyon-Falls-6324,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.06682, -111.88678",6137 feet (asl),,,,,,,,,,North Fork Holmes Creek,,,,,,NA,NA
15,.Confirmed-row,Adams Falls,,,,California,https://www.worldwaterfalldatabase.com/waterfall/Adams-Falls-6488,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.21282, -118.00776",2567 feet (asl),,,,,,,,,,East Fork Santa Ana Creek,,,,,,NA,NA
16,.Confirmed-row,Adams Falls,,,,Colorado,https://www.worldwaterfalldatabase.com/waterfall/Adams-Falls-8141,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"40.23686, -105.79598",8508 feet (asl),,,,,,,,,,East Inlet,,,,,,NA,NA
0,.Confirmed-row,Adams Falls,,,,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Adams-Falls-17770,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.4187, -86.1837",,,,2,,,,,,,Adams Falls Creek,,,,,,NA,NA
1,.Confirmed-row,Adams Falls,,,22 feet / 7 meters,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Adams-Falls-18495,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.2521, -74.8793",,7 meters,,2,,,,,,,Adams Creek,,,,,,NA,NA
2,.Confirmed-row,Adax Lake Falls,,,,Utah,https://www.worldwaterfalldatabase.com/waterfall/Adax-Lake-Falls-6328,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"40.73843, -111.00856",9751 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,.Confirmed-row,Adkins Branch Falls,,,20 feet / 6 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Adkins-Branch-Falls-17771,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.3105, -84.2395",,6 meters,,2,,,,,,,Adkins Branch,,,,,,NA,NA
4,.Confirmed-row,Adkins Falls,,,,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Adkins-Falls-16353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,.Confirmed-row,Affelder Falls,,,20 feet / 6 meters,Ohio,https://www.worldwaterfalldatabase.com/waterfall/Affelder-Falls-28595,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,6 meters,,2,,,,,,,,,,,,,NA,NA
6,.Confirmed-row,Agamok Falls,,,,Minnesota,https://www.worldwaterfalldatabase.com/waterfall/Agamok-Falls-28152,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,.Confirmed-row,Agape Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Agape-Falls-19077,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.65992, -121.89992",2747 feet (asl),,,,,,,,,,Hearty Creek,,,,,,NA,NA
8,.Confirmed-row,Agassiz Creek Falls,,,,Montana,https://www.worldwaterfalldatabase.com/waterfall/Agassiz-Creek-Falls-10538,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.95714, -114.13642",5533 feet (asl),,,,,,,,,,Agassiz Creek,,,,,,NA,NA
9,.Confirmed-row,Agassiz Glacier Falls,,,,Montana,https://www.worldwaterfalldatabase.com/waterfall/Agassiz-Glacier-Falls-10291,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.94511, -114.14073",6183 feet (asl),,,,,,,,,,Agassiz Creek,,,,,,NA,NA
10,.Confirmed-row,Agate Falls,,32.37,40 feet / 12 meters,Michigan,https://www.worldwaterfalldatabase.com/waterfall/Agate-Falls-13084,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.481, -89.0902",,12 meters,12 meters,1,27 meters,,,34 meters,,,Middle Branch Ontonagon River,3 cms,2 cms,,,,NA,NA
11,.Confirmed-row,Agnes Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Agnes-Creek-Falls-6018,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.33754, -120.91719",2357 feet (asl),,,,,,,,,,South Fork Agnes Creek,,,,,,NA,NA
12,.Confirmed-row,Agnes Falls,,,20 feet / 6 meters,Washington,https://www.worldwaterfalldatabase.com/waterfall/Agnes-Falls-2886,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.36323, -120.87213",1955 feet (asl),6 meters,,1,,,90 degrees,,Plunge,Chelan River,Agnes Creek,,,Glacier,,,NA,NA
13,.Confirmed-row,Agnes Gorge Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Agnes-Gorge-Falls-2887,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.363, -120.86943",1978 feet (asl),,,1,,,,,Horsetail,Chelan River,Unnamed,,,,,,NA,NA
14,.Confirmed-row,Agnes Veil Falls,,,75 feet / 23 meters,Colorado,https://www.worldwaterfalldatabase.com/waterfall/Agnes-Veil-Falls-8145,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"38.72064, -106.23444",9455 feet (asl),23 meters,,,,,,,,,,,,,,,NA,NA
15,.Confirmed-row,Agnew Lake Falls,,,,California,https://www.worldwaterfalldatabase.com/waterfall/Agnew-Lake-Falls-6363,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.75094, -119.14008",8890 feet (asl),,,,,,,,,,Rush Creek,,,,,,NA,NA
16,.Confirmed-row,Ahern Glacier Falls,,,"1,810 feet / 552 meters",Montana,https://www.worldwaterfalldatabase.com/waterfall/Ahern-Glacier-Falls-744,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.8368, -113.7798",,552 meters,274 meters,2,,,,,Tiered Horsetails,,,,,Glacier,,,NA,NA
17,.Confirmed-row,Ajibikota Falls,,,15 feet / 5 meters,Michigan,https://www.worldwaterfalldatabase.com/waterfall/Ajibikota-Falls-13085,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.3298, -89.2372",,5 meters,5 meters,1,,,,,,,Sucker Creek,,,,,,NA,NA
18,.Confirmed-row,Akaiyan Falls,,,280 feet / 85 meters,Montana,https://www.worldwaterfalldatabase.com/waterfall/Akaiyan-Falls-10144,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.61393, -113.78577",6898 feet (asl),85 meters,,,,,,,,,Sprague Creek,,,,,,NA,NA
19,.Confirmed-row,Akaka Falls,,,422 feet / 129 meters,Hawaii,https://www.worldwaterfalldatabase.com/waterfall/Akaka-Falls-376,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"19.853111, -155.156151",,129 meters,129 meters,1,8 meters,,,,Plunge,,Kolekole Stream,,,,,,NA,NA
0,.Confirmed-row,Akron Falls,,,,New York,https://www.worldwaterfalldatabase.com/waterfall/Akron-Falls-8611,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"43.01555, -78.48485",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,.Confirmed-row,Alaculsy Falls,,,30 feet / 9 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Alaculsy-Falls-17772,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.9932, -84.6248",,9 meters,9 meters,1,,,,,,,,,,,,,NA,NA
2,.Confirmed-row,Alakahi Falls,,,,Hawaii,https://www.worldwaterfalldatabase.com/waterfall/Alakahi-Falls-13894,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"20.07048, -155.66932",3661 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,.Confirmed-row,Alamere Falls,,,50 feet / 15 meters,California,https://www.worldwaterfalldatabase.com/waterfall/Alamere-Falls-7047,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.95412, -122.78335",80 feet (asl),15 meters,,,,,,,,,Alamere Creek,,,,,,NA,NA
4,.Confirmed-row,Alarka Falls,,,280 feet / 85 meters,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/Alarka-Falls-15573,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.3379, -83.3698",,85 meters,,,,,,,,,Alarka Creek,,,,,,NA,NA
5,.Confirmed-row,Albany Basins,,,,Maine,https://www.worldwaterfalldatabase.com/waterfall/Albany-Basins-20406,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.2836, -70.8072",,,,,,,,,,,Albany Stream,,,,,,NA,NA
6,.Confirmed-row,Albert Falls,,,,West Virginia,https://www.worldwaterfalldatabase.com/waterfall/Albert-Falls-29902,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,,,1,,,,,,,North Fork Blackwater River,,,,,,NA,NA
7,.Confirmed-row,Alberta Falls,,,25 feet / 8 meters,Colorado,https://www.worldwaterfalldatabase.com/waterfall/Alberta-Falls-8142,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"40.30348, -105.63807",9428 feet (asl),8 meters,,,,,,,,,Glacier Creek,,,,,,NA,NA
8,.Confirmed-row,Albright Falls,,,100 feet / 30 meters,Wyoming,https://www.worldwaterfalldatabase.com/waterfall/Albright-Falls-11862,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.27837, -110.90347",7380 feet (asl),30 meters,,,,,,,,,,,,,,,NA,NA
9,.Confirmed-row,Alcorn Branch Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Alcorn-Branch-Falls-28999,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.5143, -83.9053",,,,1,,,,,Plunge,,Alcorn Branch,,,,,,NA,NA
10,.Confirmed-row,Alcove Falls,,,10 feet / 3 meters,Indiana,https://www.worldwaterfalldatabase.com/waterfall/Alcove-Falls-30615,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,3 meters,3 meters,1,,,,,Plunge,,,,,,,,NA,NA
11,.Confirmed-row,Alcove Spring Falls,,,,Kansas,https://www.worldwaterfalldatabase.com/waterfall/Alcove-Spring-Falls-14286,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"39.7489, -96.6768",,,,1,,,,,,,Elm Creek,,,,,,NA,NA
12,.Confirmed-row,Alder Creek Falls,,,90 feet / 27 meters,California,https://www.worldwaterfalldatabase.com/waterfall/Alder-Creek-Falls-6998,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.59078, -119.66045",5751 feet (asl),27 meters,,,,,,,,,Alder Creek,,,,,,NA,NA
13,.Confirmed-row,Alder Creek Falls,,,,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Alder-Creek-Falls-22043,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.47435, -123.52856",2305 feet (asl),,,,,,,,,,Alder Creek,,,,,,NA,NA
14,.Confirmed-row,Alder Falls,,,45 feet / 14 meters,Michigan,https://www.worldwaterfalldatabase.com/waterfall/Alder-Falls-13086,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.7817, -87.7075",,14 meters,9 meters,4,,,,,,,Alder Creek,,,,,,NA,NA
15,.Confirmed-row,Alder Stream Falls,,,,Maine,https://www.worldwaterfalldatabase.com/waterfall/Alder-Stream-Falls-20407,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"45.2364, -70.6206",,,,2,,,,,,,Alder Stream,,,,,,NA,NA
16,.Confirmed-row,Aldrich Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Aldrich-Falls-5443,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"45.65401, -121.98486",409 feet (asl),,,,,,,,Horsetail,Columbia River (Snake River to Portland),Cedar Creek,,,,,,NA,NA
17,.Confirmed-row,Alec Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Alec-Creek-Falls-22092,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.17772, -121.8548",1778 feet (asl),,,,,,,,,,Alec Creek,,,,,,NA,NA
18,.Confirmed-row,Alelele Falls,,,200 feet / 61 meters,Hawaii,https://www.worldwaterfalldatabase.com/waterfall/Alelele-Falls-13930,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"20.65181, -156.08583",348 feet (asl),61 meters,,,,,,,,,,,,,,,NA,NA
19,.Confirmed-row,Alexander Creek Falls,,,35 feet / 11 meters,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Alexander-Creek-Falls-29582,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,11 meters,,,,,,,Steep Cascade,,Alexander Creek,,,,,,NA,NA
20,.Confirmed-row,Alexander Falls,,,,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Alexander-Falls-17773,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.8335, -87.7212",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,.Confirmed-row,Alfheim Falls,,,30 feet / 9 meters,Wyoming,https://www.worldwaterfalldatabase.com/waterfall/Alfheim-Falls-11863,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.76892, -110.40269",7640 feet (asl),9 meters,,,,,,,,,,,,,,,NA,NA
22,.Confirmed-row,Alger Falls,,,20 feet / 6 meters,Michigan,https://www.worldwaterfalldatabase.com/waterfall/Alger-Falls-13087,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.3932, -86.6479",,6 meters,,,,,,,,,,,,,,,NA,NA
23,.Confirmed-row,Algert Cascade,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Algert-Cascade-29000,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.9694, -84.2771",,,,1,,,,,Veiling Horsetail,,,,,,,,NA,NA
24,.Confirmed-row,Algert Slide,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Algert-Slide-29001,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.9698, -84.2777",,,,1,,,,,Gradual Sliding Cascade,,,,,,,,NA,NA
0,.Confirmed-row,Alice Falls,,,,New York,https://www.worldwaterfalldatabase.com/waterfall/Alice-Falls-8613,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.5191, -73.4646",,,,,,,,,,,Ausable River,,,,,,NA,NA
1,.Confirmed-row,Alien Falls,,,,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Alien-Falls-17774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,.Confirmed-row,Allagash Falls,,,31 feet / 9 meters,Maine,https://www.worldwaterfalldatabase.com/waterfall/Allagash-Falls-20408,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.9502, -69.1346",,9 meters,9 meters,1,,,,,,,Allagash River,,,,,,NA,NA
3,.Confirmed-row,Allegheney Falls,,,12 feet / 4 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Allegheney-Falls-17775,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.6024, -84.0381",,4 meters,,2,,,,,,,Clear Creek,,,,,,NA,NA
4,.Confirmed-row,Allen Creek Falls,,,,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Allen-Creek-Falls-26821,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.6321, -85.3932",,,,,,,,,,,Allen Creek,,,,,,NA,NA
5,.Confirmed-row,Allen Day Creek Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Allen-Day-Creek-Falls-29002,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.9809, -83.3502",,,,1,,,,,Plunge,,Allen Day Creek,,,,,,NA,NA
6,.Confirmed-row,Allen Falls,,,35 feet / 11 meters,New York,https://www.worldwaterfalldatabase.com/waterfall/Allen-Falls-8614,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.6558, -74.8496",,11 meters,,,,,,,,,West Branch Saint Regis River,,,,,,NA,NA
7,.Confirmed-row,Allendale Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Allendale-Falls-29003,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"38.9966, -84.6018",,,,1,,,,,,,Bullock Pen Creek,,,,,,NA,NA
8,.Confirmed-row,Allens Falls,,,7 feet / 2 meters,Maine,https://www.worldwaterfalldatabase.com/waterfall/Allens-Falls-20616,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"43.785, -70.4245",,2 meters,,,,,,,,,Pleasant River,,,,,,NA,NA
9,.Confirmed-row,Alma Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Alma-Creek-Falls-22235,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.5892, -121.35491",1139 feet (asl),,,,,,,,,,Alma Creek,,,,,,NA,NA
10,.Confirmed-row,Alpha Falls,,,34 feet / 10 meters,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Alpha-Falls-18497,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"40.9603, -80.169",,10 meters,10 meters,1,,,,,Horsetail,,,,,,,,NA,NA
11,.Confirmed-row,Alphabet Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Alphabet-Falls-22146,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"47.98602, -120.84461",4204 feet (asl),,,,,,,,,,Y Creek,,,,,,NA,NA
12,.Confirmed-row,Alpine Cascades,,,280 feet / 85 meters,New Hampshire,https://www.worldwaterfalldatabase.com/waterfall/Alpine-Cascades-352,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.44883, -71.18139",,85 meters,,11,6 meters,,,,Steep Tiered Cascades,Kennebec River,Cascade Alpine Creek,,,Runoff,,,NA,NA
13,.Confirmed-row,Alpine Falls,,,,Montana,https://www.worldwaterfalldatabase.com/waterfall/Alpine-Falls-10189,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"45.39272, -110.95298",8821 feet (asl),,,,,,,,,,Hyalite Creek,,,,,,NA,NA
14,.Confirmed-row,Alpine Falls,,,28 feet / 9 meters,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Alpine-Falls-18498,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.4775, -76.554",,9 meters,,,,,,,,,Toms Run,,,,,,NA,NA
15,.Confirmed-row,Alta Vista Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Alta-Vista-Falls-25631,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.79565, -121.73498",5844 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,.Confirmed-row,Amazon Falls,,,60 feet / 18 meters,Wyoming,https://www.worldwaterfalldatabase.com/waterfall/Amazon-Falls-11864,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.78417, -110.33899",7262 feet (asl),18 meters,,,,,,,,,,,,,,,NA,NA
1,.Confirmed-row,Amber Canyon Falls,,,,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Amber-Canyon-Falls-16354,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.0741, -92.3562",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,.Confirmed-row,Amber Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Amber-Creek-Falls-13547,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.02483, -121.02801",3144 feet (asl),,,,,,,,,,Amber Creek,,,,,,NA,NA
3,.Confirmed-row,Amber Falls,,,18 feet / 5 meters,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Amber-Falls-16355,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.8839, -93.4708",,5 meters,5 meters,1,,,,,,,Whitaker Creek,,,,,,NA,NA
4,.Confirmed-row,Ambler Cascade,,,8 feet / 2 meters,Connecticut,https://www.worldwaterfalldatabase.com/waterfall/Ambler-Cascade-10543,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.2484, -73.4055",,2 meters,2 meters,1,,,,,,,Ambler Brook,,,,,,NA,NA
5,.Confirmed-row,American Falls,,,,Idaho,https://www.worldwaterfalldatabase.com/waterfall/American-Falls-3354,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"42.77669, -112.87503",4255 feet (asl),,,,,,,,,Snake River,Snake River,,,,,,NA,NA
6,.Confirmed-row,American Legion Falls,,,,Ohio,https://www.worldwaterfalldatabase.com/waterfall/American-Legion-Falls-20387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,.Confirmed-row,Amey Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Amey-Creek-Falls-19060,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.70264, -120.58763",4816 feet (asl),,,,,,,,,,Amey Creek,,,,,,NA,NA
